SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
16663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114629,0.0,Cash loans,F,Y,Y,0.0,405000.0,270000.0,13783.5,270000.0,Unaccompanied,State servant,Higher education,Single / not married,House / apartment,0.001276,51.99452054794521,0.6931506849315069,-29.0,-156.0,16.0,1.0,1.0,0.0,1.0,0.0,0.0,Managers,1.0,2.0,2.0,FRIDAY,4.0,0.0,0.0,0.0,0.0,0.0,0.0,School,,0.3064128600517539,0.2044226253763287,0.1227,0.0659,0.9801,0.728,0.0383,0.0,0.069,0.1667,0.2083,0.0516,,0.0632,,,0.125,0.0684,0.9801,0.7387,0.0387,0.0,0.069,0.1667,0.2083,0.0528,,0.0659,,,0.1239,0.0659,0.9801,0.7316,0.0386,0.0,0.069,0.1667,0.2083,0.0525,,0.0644,,,reg oper account,block of flats,0.0707,Block,No,0.0,0.0,0.0,0.0,-911.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
121981,0.0,Cash loans,F,N,Y,0.0,405000.0,830443.5,78979.5,769500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,Municipal apartment,0.072508,46.84931506849315,2.084931506849315,-7395.0,-647.0,,1.0,1.0,0.0,1.0,1.0,0.0,Laborers,2.0,1.0,1.0,MONDAY,19.0,0.0,0.0,0.0,0.0,0.0,0.0,Business Entity Type 3,0.5360165875278478,0.7709108568936971,,0.0371,0.0254,0.9632,0.4968,0.072,0.0,0.069,0.125,0.0417,0.0,0.0303,0.0467,0.0,0.0122,0.0378,0.0263,0.9633,0.5165,0.0726,0.0,0.069,0.125,0.0417,0.0,0.0331,0.0486,0.0,0.0129,0.0375,0.0254,0.9632,0.5035,0.0724,0.0,0.069,0.125,0.0417,0.0,0.0308,0.0475,0.0,0.0124,not specified,specific housing,0.0393,"Stone, brick",No,0.0,0.0,0.0,0.0,-1721.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
264951,0.0,Cash loans,F,N,N,0.0,405000.0,675000.0,36094.5,675000.0,Family,Commercial associate,Higher education,Civil marriage,House / apartment,0.026392,50.79178082191781,8.024657534246575,-474.0,-1743.0,,1.0,1.0,0.0,1.0,0.0,0.0,,2.0,2.0,2.0,WEDNESDAY,13.0,0.0,0.0,0.0,1.0,1.0,0.0,Industry: type 12,0.7940022897998311,0.7253872398271088,,0.066,,0.9985,,,0.0,,0.1667,,,,0.0536,,,0.0672,,0.9985,,,0.0,,0.1667,,,,0.0558,,,0.0666,,0.9985,,,0.0,,0.1667,,,,0.0545,,,,block of flats,0.0468,"Stone, brick",No,0.0,0.0,0.0,0.0,-1162.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
13912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294254,0.0,Cash loans,F,Y,Y,0.0,135000.0,450000.0,35685.0,450000.0,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,0.005084,32.64109589041096,3.6,-1952.0,-3550.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,Managers,2.0,2.0,2.0,TUESDAY,18.0,0.0,0.0,0.0,0.0,0.0,0.0,School,0.4901878017589846,0.6112158692711049,0.3016248916841194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-618.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
104248,0.0,Cash loans,M,Y,Y,0.0,180000.0,239850.0,23850.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.01885,38.40821917808219,12.397260273972602,-7936.0,-4786.0,17.0,1.0,1.0,0.0,1.0,0.0,0.0,Core staff,2.0,2.0,2.0,TUESDAY,11.0,0.0,0.0,0.0,0.0,0.0,0.0,Self-employed,0.5811482050128012,0.6650361206132828,,0.1876,0.1138,0.9801,,0.0315,0.2,0.1724,0.3333,0.375,0.0726,0.1505,0.1945,0.0116,0.0088,0.1912,0.118,0.9801,,0.0317,0.2014,0.1724,0.3333,0.375,0.0743,0.1644,0.2026,0.0117,0.0093,0.1894,0.1138,0.9801,,0.0317,0.2,0.1724,0.3333,0.375,0.0739,0.1531,0.198,0.0116,0.009,reg oper account,block of flats,0.1721,Panel,No,0.0,0.0,0.0,0.0,-1700.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
285706,1.0,Cash loans,F,N,N,0.0,108000.0,675000.0,27229.5,675000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.026392,50.95342465753425,5.484931506849315,-5651.0,-2158.0,,1.0,1.0,0.0,1.0,1.0,0.0,,2.0,2.0,2.0,SUNDAY,13.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,0.8161193016620847,0.7134708292116837,0.8050196619153701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,6.0,0.0,-1215.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219949,0.0,Cash loans,F,Y,N,1.0,103842.0,312768.0,11718.0,270000.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.018209,31.243835616438357,11.142465753424657,-960.0,-771.0,17.0,1.0,1.0,1.0,1.0,0.0,0.0,Medicine staff,3.0,3.0,3.0,WEDNESDAY,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Medicine,0.4981951472044848,0.585519024818911,0.4170996682522097,0.0619,0.0617,0.9791,0.7144,0.008,0.0,0.1379,0.1667,0.0417,0.0526,0.0479,0.0513,0.0116,0.0085,0.063,0.064,0.9791,0.7256,0.0081,0.0,0.1379,0.1667,0.0417,0.0538,0.0523,0.0534,0.0117,0.009,0.0625,0.0617,0.9791,0.7182,0.0081,0.0,0.1379,0.1667,0.0417,0.0535,0.0487,0.0522,0.0116,0.0086,reg oper account,block of flats,0.0466,Panel,No,1.0,0.0,1.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115574,0.0,Cash loans,F,N,Y,1.0,135000.0,1971072.0,68643.0,1800000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.018801,28.221917808219178,1.3041095890410959,-806.0,-1966.0,,1.0,1.0,0.0,1.0,0.0,1.0,,3.0,2.0,2.0,WEDNESDAY,8.0,0.0,0.0,0.0,0.0,0.0,0.0,Business Entity Type 3,0.6590171357652754,0.4290962554533366,,0.1948,0.1223,0.9861,0.8096,0.0756,0.2,0.1724,0.3333,0.375,0.1051,0.1589,0.2003,0.0,0.0,0.1985,0.1269,0.9861,0.8171,0.0763,0.2014,0.1724,0.3333,0.375,0.1075,0.1736,0.2087,0.0,0.0,0.1967,0.1223,0.9861,0.8121,0.0761,0.2,0.1724,0.3333,0.375,0.107,0.1616,0.2039,0.0,0.0,reg oper spec account,block of flats,0.1988,"Stone, brick",No,0.0,0.0,0.0,0.0,-299.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
235514,0.0,Revolving loans,M,N,N,0.0,157500.0,405000.0,20250.0,405000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.00702,25.980821917808218,2.180821917808219,-3723.0,-2148.0,,1.0,1.0,0.0,1.0,0.0,0.0,Core staff,2.0,2.0,2.0,MONDAY,17.0,0.0,0.0,0.0,0.0,0.0,0.0,Police,0.173293822779839,0.4139858637232449,0.3979463219016906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
145852,0.0,Cash loans,F,N,N,2.0,225000.0,473760.0,44752.5,450000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.030755,44.536986301369865,0.7698630136986301,-4839.0,-3986.0,,1.0,1.0,0.0,1.0,1.0,0.0,Private service staff,4.0,2.0,2.0,WEDNESDAY,14.0,0.0,0.0,0.0,0.0,0.0,0.0,Services,0.7116985967314611,0.6658929223739288,0.5262949398096192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,5.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221571,0.0,Cash loans,F,N,Y,0.0,147600.0,545040.0,26640.0,450000.0,Children,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.031329,53.06301369863014,33.21095890410959,-9708.0,-2828.0,,1.0,1.0,0.0,1.0,0.0,0.0,High skill tech staff,1.0,2.0,2.0,TUESDAY,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Business Entity Type 2,0.6905198010645277,0.6274435402736329,0.7338145369642702,0.081,0.0228,0.9801,0.728,0.01,0.016,0.131,0.2333,0.275,0.0164,0.0657,0.0714,0.0015,0.003,0.0735,0.0,0.9791,0.7256,0.0078,0.0,0.0345,0.1667,0.2083,0.0076,0.0643,0.0464,0.0,0.0,0.0729,0.0239,0.9791,0.7182,0.008,0.0,0.1379,0.1667,0.2083,0.0149,0.0599,0.0686,0.0,0.0,reg oper account,block of flats,0.0366,"Stone, brick",No,4.0,0.0,4.0,0.0,-1601.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
178389,0.0,Cash loans,F,N,Y,0.0,112500.0,808650.0,23773.5,675000.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.030755,47.202739726027396,9.663013698630136,-8984.0,-750.0,,1.0,1.0,0.0,1.0,1.0,0.0,,2.0,2.0,2.0,FRIDAY,12.0,0.0,0.0,0.0,0.0,0.0,0.0,Business Entity Type 3,,0.5608191277235755,0.6058362647264226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1303.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
145684,0.0,Cash loans,F,Y,Y,0.0,225000.0,745429.5,45733.5,643500.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.031329,23.698630136986303,0.8356164383561644,-1952.0,-462.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,Sales staff,2.0,2.0,2.0,THURSDAY,17.0,0.0,0.0,0.0,1.0,1.0,0.0,Business Entity Type 3,,0.4553472885461324,0.4170996682522097,0.0495,0.049,0.9737,0.6396,0.0051,0.0,0.1034,0.125,0.1667,0.0565,0.0403,0.0405,0.0,0.0,0.0504,0.0509,0.9737,0.6537,0.0052,0.0,0.1034,0.125,0.1667,0.0578,0.0441,0.0422,0.0,0.0,0.05,0.049,0.9737,0.6444,0.0052,0.0,0.1034,0.125,0.1667,0.0575,0.041,0.0413,0.0,0.0,reg oper account,block of flats,0.0319,Panel,No,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
